"School Name","BoroughCode","Geographical District","Project Description","Construction Award","Project type","Building ID","Building Address","City","Postcode","Borough","Latitude","Longitude","Community Board","Council District","BIN","BBL","Census Tract (2020)","Neighborhood Tabulation Area (NTA) (2020)","Location 1"
"P.S. 36 - QUEENS","Q","29","ROOFS / EXTERIOR MASONRY / PARAPETS","5,517,000","CIP","Q036","187-01 FOCH BOULEVARD","Queens","10128","QUEENS","40.690828","-73.763907","412","27","4268900","4124390032","366","QN1205","(40.690828, -73.763907)"
"NYC LAB MIDDLE SCHOOL - MANHATTAN","M","2","RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE","2,664,000","CIP","M070","333 WEST 17 STREET","Manhattan","10128","MANHATTAN","40.742129","-74.002198","104","3","1079152","1007410010","83","MN0401","(40.742129, -74.002198)"
"P.S. 452 - MANHATTAN","M","3","FULL PROGRAM ACCESSIBILITY","12,427,000","CIP","M191","210 WEST 61 STREET","Manhattan","10128","MANHATTAN","40.771966","-73.987429","107","6","1030320","1011520029","147","MN0701","(40.771966, -73.987429)"
"P.S. 179 - BROOKLYN","K","20","FY24 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE","595,000","CIP","K179","202 AVENUE C","Brooklyn","10128","BROOKLYN","40.640463","-73.977642","312","39","3126001","3053710001","488","BK1203","(40.640463, -73.977642)"
"P.S. 81 - QUEENS","Q","24","IPDVS INSTALLATIONS / IPDVS INSTALLATIONS","322,000","CIP","Q081","559 CYPRESS AVENUE","Queens","10128","QUEENS","40.703765","-73.912344","405","34","4082076","4034370001","545","QN0502","(40.703765, -73.912344)"
"P.S. 139 - QUEENS","Q","28","ROOF TOP UNIT REPLACEMENTS / AUDITORIUM WATER INFILTRATION","6,436,000","CIP","Q139","93-06 63 DRIVE","Queens","10128","QUEENS","40.72814","-73.863582","406","30","4072457","4030950050","693","QN0601","(40.72814, -73.863582)"
"I.S. 72 - STATEN ISLAND","R","31","IDA FLOOD ELIMINATION / CONCRETE PARAPET WALL / IDA INTERIOR SPACES / EXTERIOR MASONRY / ROOFS","16,387,000","CIP","R072","33 FERNDALE AVENUE","Staten Island","10128","STATEN IS","40.593005","-74.158988","502","51","5037524","5023640001","27706","SI0204","(40.593005, -74.158988)"
"P.S. 104 - BROOKLYN","K","20","FY23 RESO A OUTDOOR STEM CENTER / PATH OF TRAVEL RESO A OUTDOOR STEM CENTER","410,000","CIP","K104","9115 5 AVENUE","Brooklyn","10128","BROOKLYN","40.618415","-74.028842","310","47","3154775","3060880001","160","BK1001","(40.618415, -74.028842)"
"LONG ISLAND CITY HS - Q","Q","30","PUBLIC ADDRESS SYSTEM REPLACEMENT","1,114,250","CIP","Q452","14-30 BROADWAY","Queens","10128","QUEENS","40.765826","-73.9328","401","22","4467709","4005290002","45","QN0105","(40.765826, -73.9328)"
"P.S. 6 - STATEN ISLAND","R","31","EXTERIOR MASONRY","2,455,056","CIP","R006","555 PAGE AVENUE","Staten Island","10128","STATEN IS","40.510735","-74.231109","503","51","5131697","5077600001","24401","SI0305","(40.510735, -74.231109)"
"I.S. 246 - BROOKLYN","K","17","CHILLER REPLACEMENT @ K246 / FIRE ALARM SYSTEM / BMS UPGRADE","14,922,000","CIP","K246","72 VERONICA PLACE","Brooklyn","10128","BROOKLYN","40.648608","-73.952821","317","40","3117381","3051100025","794","BK1701","(40.648608, -73.952821)"
"MIDWOOD HS - BROOKLYN","K","22","ELECTRICAL WORK FOR A/C INITIATIVE","4,510","CIP","K405","2839 BEDFORD AVENUE","Brooklyn","10128","BROOKLYN","40.633237","-73.952929","314","45","3205788","3075530041","772","BK1401","(40.633237, -73.952929)"
"K721 SPED - BROOKLYN","K","21","FIRE ALARM SYSTEM REPLACEMENT","2,268,000","CIP","K722","64 AVENUE X","Brooklyn","10128","BROOKLYN","40.589317","-73.98131","313","47","3385667","3071850020","308","BK1301","(40.589317, -73.98131)"
"P.S. 29 - STATEN ISLAND","R","31","EXTERIOR MASONRY / PARAPETS / ROOFS","4,917,600","CIP","R029","1581 VICTORY BOULEVARD","Staten Island","10128","STATEN IS","40.613604","-74.115988","501","50","5009028","5003310001","147","SI0105","(40.613604, -74.115988)"
"JOHN DEWEY ANNEX - BROOKLYN","K","21","New","77,711,000","CAP","K358","106 AVENUE X","Brooklyn","11223",,,,,,,,,,
"P.S. 140 - BRONX","X","8","FY24 RESO A LIBRARY UPGRADE / PATH OF TRAVEL RESO A LIBRARY UPGRADE","430,000","CIP","X140","916 EAGLE AVENUE","Bronx","10128","BRONX","40.823289","-73.907948","203","17","2004469","2026270009","18502","BX0301","(40.823289, -73.907948)"
"CITY-AS-SCHOOL - MANHATTAN","M","2","FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / AUDITORIUM DUCTWORK / AUDITORIUM UPGRADE / PARAPETS / PATH OF TRAVEL AUDITORIUM UPGRADE / ROOFS","25,622,000","CIP","M641","16 CLARKSON STREET","Manhattan","10128","MANHATTAN","40.729412","-74.006242","102","3","1009757","1005810054","67","MN0203","(40.729412, -74.006242)"
"I.S. 349 - BROOKLYN","K","32","ROOFS / WINDOWS / EXTERIOR MASONRY","7,956,000","CIP","K111","35 STARR STREET","Brooklyn","10128","BROOKLYN","40.70069","-73.927481","304","34","3072497","3031850001","423","BK0401","(40.70069, -73.927481)"
"P.S. 306 - BROOKLYN","K","19","ROOFS / WINDOWS / EXTERIOR MASONRY / SITE WORK","13,892,000","CIP","K306","970 VERMONT STREET","Brooklyn","10128","BROOKLYN","40.655997","-73.886547","305","42","3097873","3043920001","1104","BK0503","(40.655997, -73.886547)"
"P.S. 129 - MANHATTAN","M","5","ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY","29,717,000","CIP","M129","425 WEST 130 STREET","Manhattan","10128","MANHATTAN","40.814637","-73.951912","109","9","1059407","1019570010","21703","MN0902","(40.814637, -73.951912)"
"P.S. 146 - BRONX","X","8","FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEM","8,974,000","CIP","X146","968 CAULDWELL AVENUE","Bronx","10128","BRONX","40.825025","-73.906143","203","17","2004498","2026320027","18502","BX0301","(40.825025, -73.906143)"
"HS FOR ARTS & TECHNOLOGY - M","M","3","CAFETERIA UPGRADE / AHU REPLACEMENT","8,995,000","CIP","M490","122 AMSTERDAM AVENUE","Manhattan","10128","MANHATTAN","40.774351","-73.984753","107","6","1030343","1011570025","15101","MN0701","(40.774351, -73.984753)"
"P.S. 239 - QUEENS","Q","24","HVAC COOLING SYSTEM REPLACEMENT
 / CLIMATE CONTROL / FIRE ALARM SYSTEM REPLACEMENT","7,760,000","CIP","Q239","17-15 WEIRFIELD STREET","Queens","10128","QUEENS","40.699149","-73.903799","405","34","4435561","4035610001","553","QN0502","(40.699149, -73.903799)"
"P.S. 70 - QUEENS","Q","30","ELECTRICAL WORK FOR A/C INITIATIVE / ELECTRICAL WORK FOR A/C INITIATIVE / ELECTRICAL WORK FOR A/C INITIATIVE","589,000","CIP","Q070","30-45 42 STREET","Queens","10128","QUEENS","40.762103","-73.914227","401","22","4442503","4006960014","149","QN0104","(40.762103, -73.914227)"
"THE SCHOLARS ACADEMY - QUEENS","Q","27","CONDENSATION RESOLUTION","21,648","CIP","Q180","320 BEACH 104 STREET","Queens","10128","QUEENS","40.584158","-73.825736","414","32","4303722","4161590012","938","QN1403","(40.584158, -73.825736)"
"K371 SPED - BROOKLYN","K","15","LL 26-EXIT SIGNS","18,119","CIP","K371","355 37 STREET","Brooklyn","10128","BROOKLYN","40.654293","-74.005889","307","38","3337059","3006960031","84","BK0702","(40.654293, -74.005889)"
"MARTIN VAN BUREN HS - QUEENS","Q","26","LSP- DOMESTIC WATER HEATER","283,150","CIP","Q435","230-17 HILLSIDE AVENUE","Queens","10128","QUEENS","40.733066","-73.738756","413","23","4166101","4079300002","1301","QN1302","(40.733066, -73.738756)"
"P.S. 219 - BROOKLYN","K","18","PATH OF TRAVEL RESO A SCIENCE LAB UPGRADE / FY21 RESO A SCIENCE LAB UPGRADE","2,981,000","CIP","K219","1060 CLARKSON AVENUE","Brooklyn","10128","BROOKLYN","40.659288","-73.922919","317","41","3101168","3046480001","886","BK1704","(40.659288, -73.922919)"
"P.S. 155 - QUEENS","Q","27","FY24 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE","529,000","CIP","Q155","130-02 115 AVENUE","Queens","10128","QUEENS","40.67956","-73.8106","410","28","4252357","4116730001","176","QN1001","(40.67956, -73.8106)"
"I.S. 301 - BRONX","X","8","PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION","8,877,000","CIP","X120","890 CAULDWELL AVENUE","Bronx","10128","BRONX","40.822474","-73.907194","203","17","2004496","2026310048","18502","BX0301","(40.822474, -73.907194)"
"I.S. @ 46 VERONA STREET - BROOKLYN","K","15","Demo","10,555,000","CAP","K680","46 VERONA STREET","Brooklyn","11231","BROOKLYN","40.67865","-74.007816","306","38","3000000","3005230001","59","BK0601","(40.67865, -74.007816)"
"P.S. 132 - MANHATTAN","M","6","DEFECTIVE WROUGHT IRON FENCE & HANDRAILS / FY16 RESO A PLAYGROUND REDEVELOPMENT / WATER INFILTRATION / BOILER REPAIR / RPZ BACKFLOW PREVENTION DEVICES","9,862,354.98","CIP","M132","185 WADSWORTH AVENUE","Manhattan","10128","MANHATTAN","40.850626","-73.934377","112","10","1063947","1021650026","271","MN1202","(40.850626, -73.934377)"
"P.S. 132 - MANHATTAN","M","6","COVID VENTILATION / COVID ELECTRICAL SYSTEM UPGRADE / COVID FIRE ALARM SYSTEM REPLACEMENT","11,355,000","CIP","M132","185 WADSWORTH AVENUE","Manhattan","10128","MANHATTAN","40.850626","-73.934377","112","10","1063947","1021650026","271","MN1202","(40.850626, -73.934377)"
"P.S. 5 - BROOKLYN","K","16","ELECTRIFICATION/CLIMATE CONTROL / ELECTRIFICATION / BOILER REMOVAL / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL SYSTEMS","16,795,000","CIP","K005","820 HANCOCK STREET","Brooklyn","10128","BROOKLYN","40.685687","-73.922532","303","41","3039906","3014900001","377","BK0302","(40.685687, -73.922532)"
"P.S. 90 - QUEENS","Q","27","FIRE ALARM SYSTEM REPLACEMENT / VENTILATION","8,305,000","CIP","Q090","86-50 109 STREET","Queens","10128","QUEENS","40.697033","-73.839213","409","29","4192167","4092040028","128","QN0902","(40.697033, -73.839213)"
"P.S. 117 - QUEENS","Q","28","LSP DOMESTIC WATER HEATER","84,450","CIP","Q117","85-15 143RD STREET","Queens","10128","QUEENS","40.709463","-73.813376","408","24","4208040","4097230150","232","QN0805","(40.709463, -73.813376)"
"P.S. 150 - BROOKLYN","K","23","IPDVS INSTALLATIONS / IPDVS INSTALLATIONS","328,995","CIP","K150","364 SACKMAN STREET","Brooklyn","10128","BROOKLYN","40.66896","-73.904726","316","41","3084012","3037440009","908","BK1602","(40.66896, -73.904726)"
"P.S. 56 - QUEENS","Q","27","LOW VOLTAGE ELECTRICAL SYSTEM","890,000","CIP","Q056","86-10 114 STREET","Queens","10128","QUEENS","40.69919","-73.835299","409","29","4192689","4092260057","130","QN0902","(40.69919, -73.835299)"
"P.S. 30 - BRONX","X","7","EXTERIOR MASONRY / ROOFS / PARAPETS","9,630,000","CIP","X030","510 EAST 141 STREET","Bronx","10128","BRONX","40.80937","-73.917584","201","8","2000077","2022670015","39","BX0101","(40.80937, -73.917584)"
"YOUNG WOMENS' LEADERSHIP SCHOOL - QUEENS","Q","28","EXTERIOR MASONRY / ROOFS / HVAC/BMS UPGRADE / FIRE ALARM SYSTEM","12,880,000","CIP","Q680","150-91 87 ROAD","Queens","10128","QUEENS","40.707527","-73.806412","408","24","4207510","4097070048","236","QN1201","(40.707527, -73.806412)"
"P.S. 21 - QUEENS","Q","25","PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL","5,825,285","CIP","Q021","147-36 26TH AVENUE","Queens","10128","QUEENS","40.774512","-73.819284","407","19","4108665","4048030001","1047","QN0704","(40.774512, -73.819284)"
"P.S. 63 - BRONX","X","9","REINFORCING SUPPORT ELEMENTS / PAVED AREAS CONCRETE / WINDOWS / PARAPETS / ROOFS / EXTERIOR MASONRY","20,294,000","CIP","X063","1260 FRANKLIN AVENUE","Bronx","10128","BRONX","40.830965","-73.902738","203","17","2004302","2026150014","149","BX0301","(40.830965, -73.902738)"
"QUEENS COLLEGIATE SCHOOL - QUEENS","Q","28","SCIENCE DEMO ROOM UPGRADES / SCIENCE LAB UPGRADE","1,797,000","CIP","Q470","167-01 GOTHIC DRIVE","Queens","10128","QUEENS","40.713218","-73.797237","408","24","4448806","4098580100","452","QN0805","(40.713218, -73.797237)"
"P.S. 41 - STATEN ISLAND","R","31","HEATING PLANT UPGRADE / ROOFS / PARAPETS / EXTERIOR MASONRY","20,225,000","CIP","R041","216 CLAWSON STREET","Staten Island","10128","STATEN IS","40.574044","-74.109282","502","50","5052791","5036450007","122","SI0202","(40.574044, -74.109282)"
"BRONX LAB SCHOOL - BRONX","X","11","EXTERIOR MASONRY / PARAPETS / WINDOWS / ROOFS / FLOOD ELIMINATION","49,990,000","CIP","X425","800 EAST GUN HILL ROAD","Bronx","10128","BRONX","40.875953","-73.86197","212","12","2057045","2046330040","372","BX1201","(40.875953, -73.86197)"
"P.S. 37 - MANHATTAN","M","4","SIDEWALK REPAIR / ROOFS / EXTERIOR MASONRY / PARAPETS / FLOOD ELIMINATION","17,300,000","CIP","M045","2351 1 AVENUE","Manhattan","10128","MANHATTAN","40.798884","-73.933319","111","8","1054786","1017970100","194","MN1102","(40.798884, -73.933319)"
"P.S. 96 - QUEENS","Q","27","EXISTING BUILDING RENOVATION WORK / EXISTING BUILDING-AUDITORIUM / EXISTING BUILDING-CAFETERIA","6,006,920","CIP","Q096","130-17 ROCKAWAY BOULEVARD","Queens","10128","QUEENS","40.674977","-73.808245","410","28","4000000","4116940027","180","QN1001","(40.674977, -73.808245)"
"P.S. 159 - BROOKLYN","K","19","IPDVS INSTALLATIONS / IPDVS INSTALLATIONS","450,194","CIP","K159","2781 PITKIN AVENUE","Brooklyn","10128","BROOKLYN","40.675766","-73.869469","305","42","3094735","3042160001","1200","BK0505","(40.675766, -73.869469)"
"X721 SPED - BRONX","X","11","EXTERIOR MASONRY WATER PENETRATION / WINDOWS / ROOFS / FLOOD ELIMINATION / PARAPETS","9,394,223","CIP","X722","2697 WESTCHESTER AVENUE","Bronx","10128","BRONX","40.842289","-73.838949","211","13","2045725","2041330200","284","BX1161","(40.842289, -73.838949)"
"CHANNEL VIEW SCL FOR RESEARCH - Q","Q","27","TENNIS COURT REMEDIATION","4,362,000","CIP","Q411","100-00 BEACH CHANNEL DRIVE","Queens","10128","QUEENS","40.586066","-73.822624","414","32","4303773","4161670099","94201","QN1402","(40.586066, -73.822624)"
"P.S. 75 - BRONX","X","8","ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS","35,816,450","CIP","X075","984 FAILE STREET","Bronx","10128","BRONX","40.822719","-73.889435","202","17","2006079","2027470001","119","BX0202","(40.822719, -73.889435)"
"P.S. 185 - BROOKLYN","K","20","CLASSROOM FLOORING / PATH OF TRAVEL CLASSROOM FLOORING","2,150,000","CIP","K185","8601 RIDGE BOULEVARD","Brooklyn","10128","BROOKLYN","40.623986","-74.033779","310","47","3153416","3060430001","60","BK1001","(40.623986, -74.033779)"
"P.S. 187 - MANHATTAN","M","6","LSP- DOMESTIC HOT WATER HEATER REPLACEMENT","227,744.76","CIP","M187","349 CABRINI BOULEVARD","Manhattan","10128","MANHATTAN","40.85674","-73.937056","112","10","1064371","1021790365","273","MN1202","(40.85674, -73.937056)"
"I.S. 180 - BRONX","X","11","WINDOWS","4,300,000","CIP","X180","700 BAYCHESTER AVENUE","Bronx","10128","BRONX","40.873012","-73.833809","210","12","2116158","2051410150","46205","BX1004","(40.873012, -73.833809)"
"I.S. 582 - BROOKLYN","K","14","FY24 RESO A AUDITORIUM UPGRADE","326,500","CIP","K196","207 BUSHWICK AVENUE","Brooklyn","10128","BROOKLYN","40.708723","-73.940002","301","34","3071024","3030460001","485","BK0104","(40.708723, -73.940002)"
"P.S. 5 - STATEN ISLAND","R","31","Addition","63,890,000","CAP","R005","348A DEISIUS STREET","Staten Is","10312","STATEN IS","40.530169","-74.187635","503","51","5000000","5065660001","176","SI0304","(40.530169, -74.187635)"
"BRONX CNTR FOR SCIENCE & MATH - X","X","9","WALK-IN REFRIGERATORS AND FREEZERS","440,000","CIP","X002","1365 FULTON AVENUE","Bronx","10128","BRONX","40.833696","-73.902477","203","16","2009617","2029250056","14701","BX0302","(40.833696, -73.902477)"
"QNS HS OF TEACH., LIB. ARTS&SCI-Q","Q","26","ROOFS / PARAPETS / FIRE ALARM SYSTEM / EXTERIOR MASONRY","14,111,000","CIP","Q566","74-20 COMMONWEALTH BOULEVARD","Queens","10128","QUEENS","40.746088","-73.727535","413","23","4529899","4078700072","1567","QN1302","(40.746088, -73.727535)"
"P.S. 100 - BRONX","X","8","IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / IPDVS INSTALLATIONS","495,446","CIP","X100","800 TAYLOR AVENUE","Bronx","10128","BRONX","40.821409","-73.862976","209","18","2022550","2036410001","42","BX0902","(40.821409, -73.862976)"
"HUDSON HS OF LEARNING TECH - MANHATTAN","M","2","IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION","449,000","CIP","M440","351 WEST 18 STREET","Manhattan","10128","MANHATTAN","40.742867","-74.002136","104","3","1013096","1007420007","89","MN0401","(40.742867, -74.002136)"
"P.S. @ PARCEL C - QUEENS","Q","30","New","74,725,000","CAP","Q341","1-55 54 AVENUE","Queens","11101","QUEENS","40.740928","-73.960012","402","26",,,"101","QN0201","(40.740928, -73.960012)"
"P.S. 150 - BRONX","X","12","IPDVS INSTALLATIONS / IPDVS INSTALLATIONS","312,500","CIP","X150","920 EAST 167 STREET","Bronx","10128","BRONX","40.82636","-73.894398","202","17","2005681","2027170005","12701","BX0202","(40.82636, -73.894398)"
"BROOKLYN HS FOR MUSIC &THEATER - K","K","17","FY24 RESO A LOCKER ROOM UPGRADE / FY24 RESO A GYMNASIUM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A GYMNASIUM UPGRADE","2,227,000","CIP","K440","883 CLASSON AVENUE","Brooklyn","10128","BROOKLYN","40.670349","-73.961695","309","35","3029686","3011870001","213","BK0901","(40.670349, -73.961695)"
"EDWARD R. MURROW HS - K","K","21","IDA GYM FLOOR REPLACEMENT @ K525","893,919","CIP","K525","1600 AVENUE L","Brooklyn","10128","BROOKLYN","40.620525","-73.959285","314","44","3180673","3067340109","768","BK1403","(40.620525, -73.959285)"
"K373 SPED - BROOKLYN","K","17","FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY","4,759,000","CIP","K877","35 SNYDER AVENUE","Brooklyn","10128","BROOKLYN","40.648585","-73.957282","314","40","3338996","3051030093","794","BK1701","(40.648585, -73.957282)"
"P.S. 127 - QUEENS","Q","30","LSP- DOMESTIC HOT WATER HEATER","191,011.57","CIP","Q127","98-01 25 AVENUE","Queens","10128","QUEENS","40.764646","-73.871641","403","21","4024487","4011090016","357","QN0302","(40.764646, -73.871641)"
"FIORELLO LAGUARDIA HS - MANHATTAN","M","3","STAIRWELL WALLS","3,751,366","CIP","M485","100 AMSTERDAM AVENUE","Manhattan","10128","MANHATTAN","40.773629","-73.985273","107","6","1030341","1011560030","15101","MN0701","(40.773629, -73.985273)"
"FOREST HILLS HS ANNEX - QUEENS","Q","78","Demo","1,629,000","CAP","Q516","67-01 110 STREET","Queens","11375","QUEENS","40.729402","-73.845637","406","29","4052143","4021890002","747","QN0602","(40.729402, -73.845637)"
"P.S. @ 23-70 WATERS EDGE DRIVE - QUEENS","Q","25","New","89,375,000","CAP","Q388","23-70 WATERS EDGE DRIVE","Queens","11360","QUEENS","40.781813","-73.772861","407","19","4624555","4059580030","99703","QN0703","(40.781813, -73.772861)"
"P.S. 229 - QUEENS","Q","24","FIRE ALARM REPLACEMENT","835,000","CIP","Q229","67-25 51 ROAD","Queens","10128","QUEENS","40.734294","-73.897557","405","30","4440274","4024230001","513","QN0501","(40.734294, -73.897557)"
