building_id,school_name,building_address,city,borough,borough_code,geographical_district,latitude,longitude
M126,P.S. 126 - MANHATTAN,80 CATHERINE STREET,Manhattan,MANHATTAN,M,2,40.710729,-73.996631
K278,I.S. 278 - BROOKLYN,1925 STUART STREET,Brooklyn,BROOKLYN,K,22,40.60665,-73.939176
K031,P.S. 31 - BROOKLYN,75 MESEROLE AVENUE,Brooklyn,BROOKLYN,K,14,40.726587,-73.95427
Q130,P.S. 130 - QUEENS,200-01 42 AVENUE,Queens,QUEENS,Q,26,40.759517,-73.784029
K304,BRIGHTER CHOICE COMMUN SCHL - K,280 HART STREET,Brooklyn,BROOKLYN,K,16,40.694086,-73.940744
R023,P.S. 23 - STATEN ISLAND,30 NATICK STREET,Staten Island,STATEN IS,R,31,40.571187,-74.132634
K860,P.S. 219 - BROOKLYN,9517 KINGS HIGHWAY,Brooklyn,BROOKLYN,K,18,40.65911,-73.920368
X147,I.S. 339 - BRONX,1600 WEBSTER AVENUE,Bronx,BRONX,X,9,40.840845,-73.904772
Q578,P.S. @ 120-08 JAMAICA AVENUE - QUEENS,120-08 JAMAICA AVENUE,Queens,QUEENS,Q,27,40.700285,-73.829537
M480,P.S. 225 - MANHATTAN,317 EAST 67 STREET,Manhattan,MANHATTAN,M,2,40.765359,-73.960059
K072,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE  -K,605 SHEPHERD AVENUE,Brooklyn,BROOKLYN,K,19,40.669387,-73.879614
Q183,P.S. 183 - QUEENS,2-45 BEACH 79 STREET,Queens,QUEENS,Q,27,40.589508,-73.805361
K650,WIILIAMSBURG PREP- BROOKLYN,257 N 6 STREET,Brooklyn,BROOKLYN,K,14,40.715073,-73.954754
K384,P.S. 384 - BROOKLYN,242 COOPER STREET,Brooklyn,BROOKLYN,K,32,40.690353,-73.904803
K231,K721 SPED - BROOKLYN,360 36 STREET,Brooklyn,BROOKLYN,K,15,40.654796,-74.005244
Q158,J.H.S. 158 - QUEENS,46-35 OCEANIA STREET,Queens,QUEENS,Q,26,40.756139,-73.772862
X123,I.S. 123 - BRONX,1025 MORRISON AVENUE,Bronx,BRONX,X,8,40.825403,-73.873666
