project_id,building_id,project_description,construction_award,project_type
563,Q080,FLOOD ELIMINATION / PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION / PA SYSTEM REPLACEMENT,8276000,CIP
564,K018,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,347000,CIP
565,K302,FULL PROGRAM ACCESSIBILITY / FIRE ALARM SYSTEM REPLACEMENT,8723919,CIP
566,K312,FY23 RESO A LIBRARY UPGRADE,550072.14,CIP
567,X167,WALK-IN REFRIGERATORS AND FREEZERS,619365,CIP
568,Q200,ROOFS / PARAPETS / EXTERIOR MASONRY,7500000,CIP
569,X426,ATHLETIC FIELD / FIELD HOUSE,17463000,CIP
570,R440,REINFORCING SUPPORT ELEMENTS,1770000,CIP
571,Q405,FY19 RESO A ROOM CONVERSION,978000,CIP
572,K162,IPDVS CAMERA INSTALLATION,163300,CIP
573,K210,ROOFS / EXTERIOR MASONRY / WINDOWS / FLOOD ELIMINATION / PARAPETS,17384000,CIP
574,K095,EXTERIOR MASONRY / ROOFS,2567700,CIP
575,M019,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6866000,CIP
576,Q008,DCAS ROOFS / DCAS ELECTRIFICATION/HEAT PUMP SYSTEMS / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / DCAS FIRE ALARM / DCAS ELECTRICAL UPGRADE / DCAS LIGHTING UPGRADE,56400000,CIP
577,X886,HEATING PLANT UPGRADE (BOILER REPLACEMENT) / LOW VOLTAGE ELECTRICAL SYSTEM,6480988,CIP
578,X425,COVID VENTILATION,6420000,CIP
579,Q455,ELECTRICAL WORK FOR A/C INITIATIVE / LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,1180000,CIP
580,Q080,FY23 RESO A MULTIMEDIA CENTER / PATH OF TRAVEL RESO A MULTIMEDIA CENTER,540000,CIP
581,K131,IPDVS INSTALLATIONS,283425.38,CIP
582,M164,SCIENCE LAB UPGRADES / PATH OF TRAVEL SCIENCE LAB UPGRADE,1480016,CIP
583,R436,FY20 RESO A FIELD UPGRADE,12424000,CIP
584,X074,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,7504528.75,CIP
585,Q215,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,310000,CIP
586,Q465,FY24 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,700000,CIP
587,K411,ATHLETIC FIELD BLEACHERS C OF O,385948,CIP
588,X131,CHARTER MATCH SCIENCE LAB UPGRADE / PATH OF TRAVEL CHARTER MATCH SCIENCE LAB UPGRADE,595000,CIP
589,R600,LSP VENTILATION/DUST COLLECTION SYSTEM,79200,CIP
590,M871,STRUCTURAL ISSUES,2196135.2,CIP
591,X149,LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,64670,CIP
592,K261,FLOOD ELIMINATION / PARAPETS / ROOFS / PLAYGROUND REDEVELOPMENT / TCU REMOVAL/PLAYGROUND REDEVELOPMENT / PATH OF TRAVEL TCU REMOVAL/PLAYGROUND REDEVELOPMENT,5842449,CIP
593,Q169,FY21 RESO A AUDITORIUM UPGRADE / ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL UPGRADE / WINDOWS / ROOFS / LIGHTING UPGRADE,30300000,CIP
594,M152,FY24 RESO A IPDVS CAMERA INSTALLATION / FY24 RESO A IPDVS CAMERA INSTALLATION,444446,CIP
595,K660,FY25 RESO A GYMNASIUM UPGRADE,498000,CIP
596,K138,RPZ VALVES,7216,CIP
597,Q125,FLOOD ELIMINATION,2591334,CIP
598,K515,C OF O / LOW-VOLTAGE ELECTRICAL SYSTEMS / ELECTRICAL SYSTEMS,5916000,CIP
599,K263,ROOFS / WINDOWS / EXTERIOR MASONRY / PAVED AREA- CONCRETE / PARAPETS,28600000,CIP
600,K206,Addition,59600000,CAP
601,K356,ROOFS / EXTERIOR MASONRY,5800000,CIP
602,X112,WINDOWS / EXTERIOR MASONRY / PARAPETS / FLOOD ELIMINATION,6179000,CIP
603,Q062,LSP DOMESTIC WATER HEATER REPLACEMENT,148607.82,CIP
604,M488,FY24 RESO A PLAYGROUND UPGRADE,323814,CIP
605,M480,LL 41/16 COMPLIANCE (002729) / LL 41/16 COMPLIANCE (005181) / LL 41/16 COMPLIANCE (005182) / LL 41/16 COMPLIANCE (002762) / LL 41/16 COMPLIANCE (005183) / LL 41/16 COMPLIANCE  (005184) / LL 41/16 COMPLIANCE (005185) / LL 41/16 COMPLIANCE (005186) / LL 41,19998.32,CIP
606,K302,WALK-IN REFRIGERATORS AND FREEZERS,585000,CIP
607,K038,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,380000,CIP
608,Q234,FY25 RESO A GYMNASIUM UPGRADE,560000,CIP
609,X460,FY23 RESO A GYMNASIUM UPGRADE,206195,CIP
610,K172,EXTERIOR MASONRY / ROOFS / PARAPETS / PAVED AREAS CONCRETE / WINDOWS,15764000,CIP
611,Q512,Demo,3299000,CAP
612,Q247,FY24 RESO A AUDITORIUM UPGRADE / FY24 RESO A PLAYGROUND UPGRADE,1545000,CIP
613,Q022,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,11244000,CIP
614,Q811,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,5580000,CIP
615,Q043,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,1179000,CIP
616,Q431,FY20 RESO A ATHLETIC FIELD UPGRADE,10542368,CIP
617,M470,LOW VOLTAGE ELECTRICAL SYSTEM / VENTILATION / CLIMATE CONTROL,11221212,CIP
618,Q146,FY24 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,546000,CIP
619,K169,IPDVS INSTALLATIONS,250623.95,CIP
620,Q089,LSP DOMESTIC WATER HEATER,195000,CIP
621,X027,IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION,495000,CIP
622,Q450,RPZ VALVES,389000,CIP
623,Q292,PLAYGROUND UPGRADE / PATH OF TRAVEL PLAYGROUND UPGRADE,329726,CIP
624,Q113,LSP HOT WATER HEATER REPLACEMENT,219000,CIP
625,X655,IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION,568596,CIP
626,M125,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,644500,CIP
627,K314,BATHROOM UPGRADE,200000,CIP
628,Q227,FY19 RESO A AUDITORIUM UPGRADE,1665000,CIP
629,K234,INTERIOR SPACES,2740580,CIP
630,Q042,FY25 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,638000,CIP
631,K100,COVID VENTILATION / COVID FIRE ALARM SYSTEM,3998000,CIP
632,X063,FY20 RESO A IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION / FY24 RESO A IPDVS CAMERA INSTALLATION,634712.48,CIP
633,R043,FY20 RESO A LIBRARY UPGRADE / FY21 RESO A SCIENCE LAB UPGRADES,1471000,CIP
634,Q184,ROOFS / PARAPETS / EXTERIOR MASONRY,2825000,CIP
635,Q073,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,7810000,CIP
636,M047,EXTERIOR MASONRY / RTU REPLACEMENT / WINDOWS / PARAPETS / ROOFS,24733000,CIP
637,K116,FLOOD ELIMINATION / EXTERIOR MASONRY,5543680,CIP
638,M075,RPZ BACKFLOW PREVENTION DEVICES,706786,CIP
639,R055,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,8419000,CIP
640,Q119,FY23 RESO A COMPUTER LAB UPGRADE,316914,CIP
641,Q005,FY25 RESO A IPDVS CAMERA INSTALLATION / FY25 RESO A IPDVS CAMERA INSTALLATION,451000,CIP
642,X070,WALK-IN REFRIGERATORS AND FREEZERS,484000,CIP
643,X086,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,387000,CIP
644,K205,FIRE ALARM SYSTEM REPLACEMENT,978995,CIP
645,K152,LOW VOLTAGE ELECTRICAL SYSTEM,1243000,CIP
646,R470,FY20 RESO A IPDVS CAMERA INSTALLATION / FY25 RESO A IPDVS CAMERA INSTALLATION / FY25 RESO A IPDVS CAMERA INSTALLATION,381818,CIP
647,X138,Addition,57799000,CAP
648,Q085,ROOFS / EXTERIOR MASONRY / WINDOWS / PARAPETS,10980000,CIP
649,Q610,LOW VOLTAGE ELECTRICAL SYSTEMS,1250000,CIP
650,Q122,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,11773000,CIP
651,Q138,FY24 RESO A LIBRARY UPGRADE / PATH OF TRAVEL RESO A LIBRARY UPGRADE,459000,CIP
652,X114,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6650000,CIP
653,Q463,FY23 RESO A ATHLETIC FIELD UPGRADE,10567000,CIP
654,K015,IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION,350000,CIP
655,Q220,EXTERIOR MASONRY,983000,CIP
656,K490,LOW VOLTAGE ELECTRICAL SYSTEM,3051000,CIP
657,Q096,Addition,51093080,CAP
658,X137,PATH OF TRAVEL RESO A ROOM CONVERSION / FY22 RESO A ROOM CONVERSION,1691000,CIP
659,Q499,LSP DOMESTIC WATER HEATER REPLACEMENT,100000,CIP
660,K425,COVID VENTILATION,11445000,CIP
661,K157,WALK-IN REFRIGERATORS AND FREEZERS,529126,CIP
662,Q520,MECHANICAL PIPING,645750,CIP
663,X152,PARAPETS / ROOFS / EXTERIOR MASONRY / CHILLER PLANT UPGRADE / FLOOD ELIMINATION,12963000,CIP
664,M234,FIRE ALARM SYSTEM REPLACEMENT,1200000,CIP
665,K062,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / FLOOD ELIMINATION,21883000,CIP
666,M008,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / FY25 RESO A IPDVS CAMERA INSTALLATION,514000,CIP
667,R025,ROOFS,2292000,CIP
668,M191,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,345500,CIP
669,K332,ROOFS / PARAPETS / EXTERIOR MASONRY / ROOF TOP UNIT / PAVED AREAS- CONCRETE,13345000,CIP
670,K801,ELEVATOR MODERNIZATION,800000,CIP
671,X496,New,75628000,CAP
672,K019,PATH OF TRAVEL PLAYGROUND UPGRADE / FY22 RESO A PLAYGROUND UPGRADE / EXTERIOR MASONRY / WINDOWS / PARAPETS / ROOFS / SITE WORK / FLOOD ELIMINATION,27500000,CIP
673,K211,FULL PROGRAM ACCESSIBILITY,10844000,CIP
674,Q420,FY24 RESO A ROOM CONVERSION / PATH OF TRAVEL RESO A ROOM CONVERSION,757000,CIP
675,K188,FULL PROGRAM ACCESSIBILITY / ROOFS / PARAPETS / EXTERIOR MASONRY,19400000,CIP
676,X022,ROOFS / GYMNASIUM FLOORING / EXTERIOR MASONRY / WINDOWS / PARAPETS,17900000,CIP
677,K194,FULL PROGRAM ACCESSIBILITY,10990000,CIP
678,M020,IPDVS INSTALLATIONS,212838.05,CIP
679,M490,SWIMMING POOL,4638060,CIP
680,Q026,Addition,58108744.2,CAP
681,Q141,LSP CAFETERIA CEILING REPLACEMENT,472854,CIP
682,M112,FULL PROGRAM ACCESSIBILITY / FULL PROGRAM ACCESSIBILITY,30910000,CIP
683,Q686,TENNIS COURT REMEDIATION,595635,CIP
684,Q058,ROOFS / PARAPETS,5089694,CIP
685,X099,ROOFS / WINDOWS / EXTERIOR MASONRY,10711000,CIP
686,Q008,FY24 RESO A IPDVS CAMERA INSTALLATION,246108.9,CIP
687,K126,ROOFS / FLOOD ELIMINATION / EXTERIOR MASONRY,5150000,CIP
688,M042,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,12360911,CIP
689,Q020,FIRE ALARM SYSTEM / MECHANICAL SYSTEMS REPAIR / CERTIFICATE OF OCCUPANCY,9411000,CIP
690,Q136,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,402000,CIP
691,X053,STH- SBHC,2995000,CIP
692,M087,WINDOWS / RPZ BACKFLOW PREVENTION DEVICES / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / ROOFS / PARAPETS / EXTERIOR MASONRY / EXTERIOR DOORS,23719000,CIP
693,Q222,LSP DOMESTIC WATER HEATER,187631.22,CIP
694,Q105,ROOFS / EXTERIOR MASONRY,4485000,CIP
695,X400,SCIENCE LAB UPGRADES / PATH OF TRAVEL SCIENCE LAB UPGRADES,1785000,CIP
696,Q508,Demo,6872000,CAP
697,R031,ROOFS / PARAPETS / EXTERIOR MASONRY,6160000,CIP
698,M041,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,450000,CIP
699,Q485,SCIENCE LAB UPGRADES,2309400,CIP
700,Q239,LSP DOMESTIC WATER HEATER,165984.08,CIP
701,Q179,ROOFS,4786000,CIP
702,K162,FULL PROGRAM ACCESSIBILITY / ELECTRIFICATION/HEAT PUMP SYSTEMS / WINDOWS / ELECTRICAL SERVICE UPGRADE,36860000,CIP
703,Q158,ROOFS / GYM CEILING / PARAPETS / EXTERIOR MASONRY,12658000,CIP
704,X127,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,9603000,CIP
705,K680,New,107211000,CAP
706,R004,ELECTRICAL WORK FOR A/C INITIATIVE,19777.11,CIP
707,K023,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,347555,CIP
708,K185,RESO A PLAYGROUND / PATH OF TRAVEL RESO A PLAYGROUND,2175213,CIP
709,M132,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,399950,CIP
710,K834,PLAYGROUND UPGRADE / PATH OF TRAVEL PLAYGROUND UPGRADE,627834,CIP
711,M528,FY20 RESO A PLAYGROUND UPGRADE,435000,CIP
712,Q134,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,540000,CIP
713,Q153,PA SYSTEM REPLACEMENT,989999,CIP
714,Q177,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,7221000,CIP
715,K152,FY24 RESO A LIBRARY UPGRADE,405000,CIP
716,Q053,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,10877000,CIP
717,R019,Addition,63964529,CAP
718,X142,ROOFS / EXTERIOR MASONRY / PARAPETS / WINDOWS,26900000,CIP
719,X119,FLOOD ELIMINATION / PARAPETS,534975,CIP
720,X107,EXTERIOR MASONRY / PARAPETS / ROOFS / FLOOD ELIMINATION,5990000,CIP
721,K309,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,6931000,CIP
722,Q013,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / WINDOWS / ROOFS,13719026,CIP
723,K279,BACKFLOW PREVENTION DEVICES,750000,CIP
724,Q201,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,1138000,CIP
725,M645,FIRE ALARM SYSTEM / VENTILATION,7507804,CIP
726,K072,IPDVS INSTALLATION / IPDVS INSTALLATION,543000,CIP
727,M096,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / LOW VOLTAGE ELECTRICAL SYSTEM,9680050,CIP
728,Q122,LOW VOLTAGE ELECTRICAL SYSTEM,1100000,CIP
729,X722,ROOF REPLACEMENT,2778600,CIP
730,Q097,ROOFS / FLOOD ELIMINATION / EXTERIOR MASONRY / RTU REPLACEMENT,8538000,CIP
731,K050,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,7940000,CIP
732,Q037,FLOOD ELIMINATION / FIRE ALARM / EXTERIOR MASONRY / ELEVATOR / PARAPETS / FLOOD ELIMINATION,14990000,CIP
733,K221,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,3921000,CIP
734,Q415,RPZ VALVES,873000,CIP
735,Q460,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE / FY23 RESO A GYMNASIUM UPGRADE,828855,CIP
736,X193,STH- SBHC / PATH OF TRAVEL SCHOOL BASED HEALTH CLINIC,3111000,CIP
737,Q081,PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS / ROOFS,9793930,CIP
738,Q138,LSP- HOT WATER HEATER REPLACEMENT,252722.86,CIP
739,Q052,ELECTRICAL WORK FOR A/C INITIATIVE / ELECTRICAL WORK FOR A/C INITIATIVE / ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,587000,CIP
740,R069,FLOOD ELIMINATION,3100000,CIP
741,X160,LSP HOT WATER TANK IN BOILER ROOM,135000,CIP
742,K249,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,8940000,CIP
743,K090,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY / FY22 RESO A ROOFTOP GARDEN,16959800,CIP
744,M108,WALK-IN REFRIGERATORS AND FREEZERS,428000,CIP
745,X106,EXTERIOR MASONRY,1929346,CIP
746,R446,LSP REPLACE BOILER,61800,CIP
747,Q146,EXTERIOR MASONRY,3693786,CIP
748,Q475,LOCKER ROOM UPGRADE / LOW VOLTAGE ELECTRICAL SYSTEM / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / POOL WATER HEATER & FILTRATION,23999723,CIP
749,X063,FY24 RESO A ROOM CONVERSION / PATH OF TRAVEL RESO A ROOM CONVERSION,443561,CIP
750,Q074,IDA FLOOD ELIMINATION / IDA INTERIOR SPACES / IDA DOMESTIC PIPING / IDA ELECTRICAL SYSTEMS / IDA CLIMATE CONTROL / PARAPETS / EXTERIOR MASONRY / WINDOWS / ROOFS / FLOOD ELIMINATION / FENCING,36365000,CIP
751,K864,PATH OF TRAVEL WATER PENETRATION,186950,CIP
752,X175,TCU REMOVAL/PLAYGROUND REDEVELOPMENT / PATH OF TRAVEL TCU REMOVAL/PLAYGROUND REDEVELOPMENT,2917342,CIP
753,R042,FY18 RESO A PLAYGROUNDS / ROOFS / FLOOD ELIMINATION / EXTERIOR MASONRY,6963049,CIP
754,Q578,Demo,4500066,CAP
755,K656,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / ROOFS / COVID VENTILATION,12095760,CIP
756,Q430,Demo,1137632,CAP
757,K324,SCIENCE LAB UPGRADE,2151000,CIP
758,K164,COVID VENTILATION / COVID FIRE ALARM REPLACEMENT,6775000,CIP
759,Q232,WATER INILTRATION / PLANYC BOILER / PLANYC CLIMATE CONTROL / LOW-VOLTAGE ELECTRICAL SYSTEM / EXTERIOR MASONRY,15528000,CIP
760,M064,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE / FY20 RESO A PLAYGROUND UPGRADE,2375000,CIP
761,M142,ROOFS / PARAPETS / EXTERIOR MASONRY,8640000,CIP
762,K197,IPDVS INSTALLATIONS,310606.25,CIP
763,K002,FY24 RESO A ROOM CONVERSION,148000,CIP
764,K102,FLOOD ELIMINATION / PATH OF TRAVEL FLOOD ELIMINATION,4566919,CIP
765,Q207,ROOFS / EXTERIOR MASONRY,3680000,CIP
766,M176,PARAPETS / FY20 RESO A PLAYGROUND UPGRADE / EXTERIOR MASONRY,6298000,CIP
767,K180,EXTERIOR MASONRY / FULL PROGRAM ACCESSIBILITY / FLOOD ELIMINATION,22935000,CIP
768,K147,ELECTRICAL SERVICE ROOM,1050000,CIP
769,R008,FY18 RESO A PLAYGROUNDS / PATH OF TRAVEL RESO A PLAYGROUNDS,3329000,CIP
770,M440,DEFECTIVE POOL FOUNDATION WALLS,17668000,CIP
771,X009,STH-SBHC ROOM CONVERSION / STH–SBHC ELECTRICAL SYSTEMS / INTRUSION ALARM SYSTEM,5873400,CIP
772,R880,REINFORCING SUPPORT ELEMENTS,2245000,CIP
773,Q340,New,31395000,CAP
774,K447,Lease,14157000,CAP
775,K029,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,15875000,CIP
776,Q131,PHASE 4 EXISTING BUILDING WORK / WINDOWS / EXTERIOR MASONRY / FLOOD ELIMINATION / DRAINAGE,14661000,CIP
777,K455,ELECTRICAL WORK FOR A/C INITIATIVE,4510,CIP
778,K110,EXTERIOR MASONRY,1242750,CIP
779,K007,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,303000,CIP
780,X425,FY22 RESO A LOCKER ROOM UPGRADE / REINFORCING SUPPORT ELEMENTS / SWIMMING POOL / PATH OF TRAVEL SWIMMING POOL / VENTILATION,27424000,CIP
781,M128,FY23 RESO A IPDVS CAMERA INSTALLATION,288392.04,CIP
782,K287,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,555000,CIP
783,K306,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,588995,CIP
784,M480,FY22 RESO A GYMNASIUM UPGRADE / PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,1051657,CIP
785,Q067,ROOFS / PARAPETS / EXTERIOR MASONRY,9706300,CIP
786,K230,IPDVS INSTALLATIONS,185242.28,CIP
787,Q401,ATHLETIC FIELD UPGRADE / PATH OF TRAVEL ATHLETIC FIELD UPGRADE / FIELD HOUSE,43650000,CIP
788,X660,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE / FY23 RESO A PLAYGROUND UPGRADE,2798000,CIP
789,Q031,CHIMNEY LINER REPLACEMENT / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / REINFORCING SUPPORT ELEMENTS / EXTERIOR MASONRY / ROOFS / PARAPETS,14330000,CIP
790,R075,FY17 RESO A GREENHOUSE / FLOOD ELIMINATION / PARAPETS / WINDOWS / EXTERIOR MASONRY / PAVED AREAS- CONCRETE / ROOFS / FY20 RESO A PLAYGROUND UPGRADE,18932000,CIP
791,K390,ROOFS / PARAPETS / SECURITY LIGHTING / EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS,24424000,CIP
792,M131,LSP DANCE FLOOR REPLACEMENT,91150,CIP
793,X181,FY15 RESO A PLAYGROUND REDEVELOPMENT,2604000,CIP
794,X079,FY21 RESO A SUPPLEMENTAL COOLING / FY21 RESO A ROOM CONVERSION,1073000,CIP
795,Q455,"CEILING ACOUSTAL TILES REPLACEMENT / ROOF SLATE TILES / WATER PENETRATION IN BOILER, GAS ROOM, 
OIL TANK ROOM, CELLAR HALLWAY / VENTILATION / ROOFS / FIRE ALARM SYSTEM / EXTERIOR MASONRY",40922300,CIP
796,M054,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,6728000,CIP
797,Q116,EXISTING BUILDING/FIRE ALARM UPGRADE / EXISTING BUILDING/ IPDVS UPGRADE / EXISTING BUILDING/ELECTRICAL SYSTEMS UPGRADE / TCU REMOVAL/PLAYGROUND REDEVELOPMENT-TCU REMOVAL/PLAYGROUND RENOVATION,5445971,CIP
798,Q095,EXISTING BUILDING/ELECTRICAL SYSTEMS UPGRADE / EXISTING BUILDING/IPDVS / EXISTING BUILDING/FIRE ALARM REPLACEMENT / EXISTING BUILDING-KITCHEN RENOVATION,5879602,CIP
799,K039,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,400000,CIP
800,Q686,FY23 RESO A LIBRARY UPGRADE,459990,CIP
801,K241,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,580000,CIP
802,X039,FY25 RESO A ROOM CONVERSION / PATH OF TRAVEL RESO A ROOM CONVERSION,373000,CIP
803,K436,FIELD HOUSE / ATHLETIC FIELD,54900000,CIP
804,K158,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,303000,CIP
805,K515,FY23 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,1053000,CIP
806,Q190,FY23 RESO A SCHOOLYARD UPGRADE,410650,CIP
807,R051,RESO A PLAYGROUND UPGRADE,3127000,CIP
808,M528,LSP HOT WATER HEATER,106500,CIP
809,K835,REPLACE (3) ROOF TOP UNITS / ROOFS,3616000,CIP
810,M480,COVID VENTILATION / COVID BMS UPGRADE,2890000,CIP
811,X080,FY23 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,598985,CIP
812,M192,EXTERIOR STAIRS / PAVED AREAS - CONCRETE / NON-TCU TEMPORARY REMOVAL/PLAYGROUND REDEVELOPMENT / PATH OF TRAVEL OTHER TEMP STRUCTURE REMOVAL/PLAYGROUND REDEVELOPMENT,4382190,CIP
813,Q512,New,82737773,CAP
814,K176,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,20100110,CIP
815,X085,OTHER TEMP STRUCTURE REMOVAL/PLAYGROUND REDEVELOPMENT / PATH OF TRAVEL- OTHER TEMP STRUCTURE REMOVAL/PLAYGROUND REDELOPMENT / FY24 RESO A AUDITORIUM UPGRADE / FY24 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO,7184750,CIP
816,K329,ROOFS / PARAPETS / EXTERIOR MASONRY,6939024,CIP
817,K153,COVID VENTILATION / COVID FIRE ALARM SYSTEM REPLACEMENT / COVID ELECTRICAL UPGRADE,6921000,CIP
818,Q497,New,110755000,CAP
819,X511,Lease,0,CAP
820,X066,FY22 RESO A LIBRARY UPGRADE / PATH OF TRAVEL RESO A LIBRARY UPGRADE,448000,CIP
821,M188,LL 26-EXIT SIGNS,82572.27,CIP
822,X114,IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION,476800,CIP
823,K200,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,401000,CIP
824,K194,FY25 RESO A LIBRARY UPGRADE,322972,CIP
825,Q096,Demo,2981000,CAP
826,M465,LL 26-EXIT SIGNS,157564.59,CIP
827,X019,EXTERIOR MASONRY / PARAPETS / FLOOD ELIMINATION,6223022,CIP
828,X130,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,5273474.75,CIP
829,K391,CHILLER REPLACEMENT @ K391 / FIRE ALARM SYSTEM,6715000,CIP
830,X129,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,9220000,CIP
831,M123,WINDOWS / EXTERIOR MASONRY,7900003,CIP
832,Q161,WINDOWS / PARAPETS,7282400,CIP
833,R020,ROOFS / EXTERIOR MASONRY / PARAPETS,3843919,CIP
834,Q126,FY23 RESO A SCIENCE LAB / PATH OF TRAVEL RESO A SCIENCE LAB,754948,CIP
835,K656,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6277000,CIP
836,K234,PARAPETS / WINDOWS / EXTERIOR MASONRY,9978000,CIP
837,M004,RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND,609000,CIP
838,K094,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT / BMS UPGRADE,8841000,CIP
839,K299,FULL PROGRAM ACCESSIBILITY / PA SYSTEM REPLACEMENT,12777000,CIP
840,K303,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,11000000,CIP
841,K280,Lease,10100000,CAP
842,K490,IDA FLOOD ELIMINATION / IDA HEATING PLANT UPGRADE / IDA CLIMATE CONTROL / NON-IDA CLIMATE CONTROL / IDA INTERIOR SPACES / IDA POOL BOILER / IDA ELECTRICAL SYSTEMS / PATH OF TRAVEL IDA INTERIOR SPACES,24474000,CIP
843,K123,FULL PROGRAM ACCESSIBILITY / MECHANICAL VENTILATION,17541000,CIP
844,X451,ATHLETIC FIELD/FIELD HOUSE / DEP GREEN INFRASTRUCTURE,26498950,CIP
