project_id,building_id,project_description,construction_award,project_type
104,X008,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,427000,CIP
105,M118,WALK-IN REFRIGERATORS AND FREEZERS,543700,CIP
106,Q060,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,352000,CIP
107,K097,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / EXISTING BUILDING WORK,11480000,CIP
108,Q145,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,8497000,CIP
109,Q189,EXTERIOR MASONRY / ROOFS / PARAPETS / FLOOD ELIMINATION,15700000,CIP
110,X094,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,358000,CIP
111,X435,STRUCTURAL ELEMENTS UNDER POOL / PATH OF TRAVEL STRUCTURAL ELEMENTS UNDER POOL / VENTILATION,22333000,CIP
112,Q485,LSP RESO A CAFETERIA UPGRADE - LIGHTING,300822.74,CIP
113,R046,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,1053731.65,CIP
114,X045,RESO A PLAYGROUND UPGRADE,4589951,CIP
115,K120,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEM / ROOFS / PARAPETS / EXTERIOR MASONRY,19211000,CIP
116,M048,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,382000,CIP
117,XAIN,ACS EARLY LEARN LEASE IMPROVEMENT / ACS EARLY LEARN PATH OF TRAVEL,2137137,CIP
118,M083,IPDVS INSTALLATIONS,2928.15,CIP
119,K208,COVID VENTILATION / COVID FIRE ALARM SYSTEM / COVID CLIMATE CONTROL,5546000,CIP
120,Q102,FY19 RESO A ROOM CONVERSIONS/PARTITIONING,36440,CIP
121,Q007,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,12904000,CIP
122,K163,ROOFS / EXTERIOR MASONRY / PARAPETS,3544982,CIP
123,X066,BATHROOM UPGRADE,200000,CIP
124,X184,SCIENCE LAB UPGRADE / PATH OF TRAVEL SCIENCE LAB UPGRADE,1980000,CIP
125,Q123,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,1082000,CIP
126,Q216,IDA FIRE ALARM SYSTEM REPLACEMENT / EARLY PACKAGE/TEMPORARY EGRESS,2889975,CIP
127,X113,FY22 RESO A SCIENCE LAB UPGRADE / PATH OF TRAVEL RESO A SCIENCE LAB UPGRADE,2477000,CIP
128,K199,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,13572000,CIP
129,Q116,Addition,59387029,CAP
130,M465,CAFETERIA CHILLER,4915479,CIP
131,X137,IPDVS CAMERA INSTALLATION / FY23 RESO A IPDVS CAMERA INSTALLATION,389000,CIP
132,R123,Demo,89433000,CAP
133,K059,ROOFS / WINDOWS / EXTERIOR MASONRY / PARAPETS,12340000,CIP
134,Q166,IPDVS INSTALLATIONS,2934.62,CIP
135,K430,LL 26-EXIT SIGNS,319643.28,CIP
136,R445,COVID VENTILATION / COVID CLIMATE CONTROL,8586000,CIP
137,X148,FLOOD ELIMINATION,791275,CIP
138,M340,FLOOD ELIMINATION,630365,CIP
139,M001,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,399550,CIP
140,X084,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,603000,CIP
141,K159,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,9020,CIP
142,K273,FULL PROGRAM ACCESSIBILITY,10424400,CIP
143,K450,LL 26-EXIT SIGNS,240439.59,CIP
144,M535,EXTERIOR MASONRY / ROOFS / PARAPETS,15088000,CIP
145,K005,WINDOWS,14745880.35,CIP
146,K845,COVID VENTILATION / PARAPETS / ROOFS / EXTERIOR MASONRY,9160000,CIP
147,K033,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,20400000,CIP
148,K329,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,378850,CIP
149,Q447,Lease,11988000,CAP
150,K244,FY23 RESO A AUDITORIUM UPGRADE,549000,CIP
151,Q026,EXISTING BUILDING WORK-FIRE ALARM,1834255.8,CIP
152,X600,STRUCTURAL CONCRETE FAILURE @ X600,798865,CIP
153,Q048,LSP DOMESTIC WATER HEATER,148607.82,CIP
154,K171,EXTERIOR MASONRY,3767000,CIP
155,R058,FY25 RESO A LIBRARY UPGRADE,303786,CIP
156,X018,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,381928,CIP
157,K191,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,348500,CIP
158,Q149,EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS / PAVED AREAS- CONCRETE / FLOOD ELIMINATION,22889000,CIP
159,M520,ROOFS / WINDOWS / DOMESTIC PIPING,14812000,CIP
160,KAYT,ACS EARLY LEARN LEASE RENEWAL,970000,CIP
161,M125,FY23 RESO A POOL UPGRADE / PATH OF TRAVEL RESO A POOL UPGRADE,7320600,CIP
162,Q193,TCU REMOVAL/PLAYGROUND REDEVELOPMENT / PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION / PATH OF TRAVEL TCU REMOVAL / PLAYGROUND REDEVELOPMENT,9527000,CIP
163,K235,ELECTRICAL WORK FOR A/C INITIATIVE,7216,CIP
164,Q226,FY23 RESO A IPDVS CAMERA INSTALLATION,351460.34,CIP
165,K314,CHILLER REPLACEMENT / AHU REPLACEMENT / BMS UPGRADE,9378000,CIP
166,Q041,ROOFS / PARAPETS / EXTERIOR MASONRY / SSBA - WORK IN EXISTING BUILDING,11099000,CIP
167,K091,ELECTRICAL SYSTEM UPGRADE / FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / PARAPETS / ROOFS,13391000,CIP
168,K297,FY24 RESO A GYMNASIUM UPGRADE,709000,CIP
169,K115,FY23 RESO A LIBRARY UPGRADE,280000,CIP
170,Q072,FY24 RESO A AUDITORIUM UPGRADE / FY24 RESO A ROOM CONVERSION / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,1277000,CIP
171,M056,LOW-VOLTAGE ELECTRICAL SYSTEM,2157000,CIP
172,Q135,LSP HOT WATER HEATER REPLACEMENT,416730,CIP
173,X050,EXTERIOR MASONRY / ROOFS / FLOOD ELIMINATION,5648869,CIP
174,K043,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,482000,CIP
175,M072,ELECTRICAL WORK FOR A/C INITIATIVE,3881.67,CIP
176,X070,OTHER TEMP STRUCTURE REMOVAL/PLAYGROUND REDEVELOPMENT / PATH OF TRAVEL-OTHER TEMP STRUCTURE REMOVAL,3278760,CIP
177,X368,ASPHALT PAVEMENT AT TIBBETT AVE,10850000,CIP
178,Q035,EXTERIOR MASONRY / ROOFS / PARAPETS / WINDOWS,10949000,CIP
179,Q161,LSP DOMESTIC WATER HEATER REPLACEMENT,238500,CIP
180,R435,PARAPETS / EXTERIOR MASONRY / ROOFS,29474103,CIP
181,K153,FY24 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,1157000,CIP
182,M155,FULL PROGRAM ACCESSIBILITY / FLOOD ELIMINATION / FIRE ALARM SYSTEM,13631919,CIP
183,Q460,FLOOD ELIMINATION,597000,CIP
184,K415,CAFETERIA UPGRADE / PATH OF TRAVEL CAFETERIA UPGRADE,2345000,CIP
185,K014,PARAPETS / EXTERIOR MASONRY,2243760,CIP
186,Q212,FY23 RESO A MULTIMEDIA CENTER / PATH OF TRAVEL RESO A MULTIMEDIA CENTER,554000,CIP
187,X144,FY25 RESO A IPDVS CAMERA INSTALLATION / FY25 RESO A IPDVS CAMERA INSTALLATION,285000,CIP
188,Q465,LSP- DOMESTIC WATER HEATER,141664.07,CIP
189,R019,EXISTING BUILDING - ELECTRICAL SYSTEMS UPGRADE / EXISTING BUILDING - IPDVS UPGRADE / EXISTING BUILDING - FIRE ALARM UPGRADE,1559471,CIP
190,K258,ROOFS / EXTERIOR MASONRY,9588000,CIP
191,K485,EXTERIOR MASONRY / ROOFS,5400000,CIP
